pcd7,pcd8,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,oa21cd,oac11cd,oac11nm,wz11cd,wzc11cd,wzc11nm,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,soac11cd,soac11nm,ladcd,ladnm,ladnmw,laccd,lacnm
AB1 3RP,AB1  3RP,AB1 3RP,198001,199606,0,395694,804961,S00089096,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RQ,AB1  3RQ,AB1 3RQ,198001,199606,0,395734,805010,S00089114,7C2,Constrained young families,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RR,AB1  3RR,AB1 3RR,198001,199606,0,395766,805028,S00089114,7C2,Constrained young families,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RS,AB1  3RS,AB1 3RS,198001,199606,0,395874,805061,S00089110,7A1,Transitional Eastern European neighbourhood,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RT,AB1  3RT,AB1 3RT,198001,199606,0,395952,805059,S00089115,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RU,AB1  3RU,AB1 3RU,198001,199606,0,395902,805092,S00089110,7A1,Transitional Eastern European neighbourhood,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RX,AB1  3RX,AB1 3RX,198001,199606,0,395894,805131,S00089111,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RY,AB1  3RY,AB1 3RY,198001,199606,0,395128,804520,S00089088,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3RZ,AB1  3RZ,AB1 3RZ,198001,199606,0,395160,804563,S00089088,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SA,AB1  3SA,AB1 3SA,198001,199606,0,395143,804499,S00089091,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SB,AB1  3SB,AB1 3SB,198001,199606,0,395786,804966,S00089114,7C2,Constrained young families,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SD,AB1  3SD,AB1 3SD,198001,199606,0,395281,804591,S00089090,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SE,AB1  3SE,AB1 3SE,198001,199606,0,395366,804615,S00089090,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SF,AB1  3SF,AB1 3SF,198001,199606,0,395806,804934,S00089116,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SH,AB1  3SH,AB1 3SH,198001,199606,0,395240,804592,S00089090,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SJ,AB1  3SJ,AB1 3SJ,198001,199606,0,395396,804693,S00089093,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SL,AB1  3SL,AB1 3SL,198001,199606,0,395502,804751,S00089093,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SN,AB1  3SN,AB1 3SN,198001,199606,0,395446,804812,S00089095,7B1,Eastern European communities,S34003142,E1,Mining and quarrying facilities,S01006635,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SP,AB1  3SP,AB1 3SP,198001,199606,0,395557,804851,S00089096,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SQ,AB1  3SQ,AB1 3SQ,198001,199606,0,395612,804863,S00089094,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SR,AB1  3SR,AB1 3SR,198001,199606,0,395396,804607,S00089091,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SS,AB1  3SS,AB1 3SS,198001,199606,0,395422,804762,S00089089,7A3,Multi-ethnic hardship,S34003135,C1,Teachers and carers in metro suburbs,S01006635,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3ST,AB1  3ST,AB1 3ST,198001,199606,0,395513,804739,S00089093,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SU,AB1  3SU,AB1 3SU,198001,199606,0,395542,804735,S00089093,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SW,AB1  3SW,AB1 3SW,198001,199606,0,395874,804907,S00090595,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SX,AB1  3SX,AB1 3SX,198001,199606,0,395629,804845,S00089094,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3SY,AB1  3SY,AB1 3SY,198001,199606,0,395858,804853,S00090596,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TA,AB1  3TA,AB1 3TA,198001,199606,0,395267,804524,S00089091,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TB,AB1  3TB,AB1 3TB,198001,199606,0,395587,804769,S00089092,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TD,AB1  3TD,AB1 3TD,198001,199606,0,395563,804692,S00089112,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TE,AB1  3TE,AB1 3TE,198001,199606,0,395727,804961,S00089114,7C2,Constrained young families,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TF,AB1  3TF,AB1 3TF,198410,199606,0,395212,804574,S00089088,7A1,Transitional Eastern European neighbourhood,S34003135,C1,Teachers and carers in metro suburbs,S01006633,,S02001258,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TH,AB1  3TH,AB1 3TH,198001,199606,0,395974,805047,S00089115,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TJ,AB1  3TJ,AB1 3TJ,198001,199606,0,395978,805016,S00089115,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TL,AB1  3TL,AB1 3TL,198001,199606,0,395909,804963,S00089116,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TN,AB1  3TN,AB1 3TN,198001,199606,0,395988,805137,S00089111,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TP,AB1  3TP,AB1 3TP,198001,199606,0,396065,805115,S00089115,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TQ,AB1  3TQ,AB1 3TQ,198001,199606,0,395482,804660,S00089092,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TR,AB1  3TR,AB1 3TR,198001,199606,0,395705,805028,S00089114,7C2,Constrained young families,S34003116,D1,Non-metropolitan suburban areas,S01006631,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TS,AB1  3TS,AB1 3TS,198001,199606,0,395877,804781,S00090466,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TT,AB1  3TT,AB1 3TT,198001,199606,0,395946,804773,S00089117,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TU,AB1  3TU,AB1 3TU,198001,199606,0,395990,805008,S00089121,7A1,Transitional Eastern European neighbourhood,S34003062,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TW,AB1  3TW,AB1 3TW,198001,199606,0,395754,804899,S00089112,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006634,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TX,AB1  3TX,AB1 3TX,198001,199606,0,395776,804858,S00089113,7D4,Retired city hardship,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3TY,AB1  3TY,AB1 3TY,198001,199606,0,395813,804820,S00090467,7B1,Eastern European communities,S34003116,D1,Non-metropolitan suburban areas,S01006636,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3YA,AB1  3YA,AB1 3YA,199512,199606,1,395203,804724,S00089080,7B1,Eastern European communities,S34003128,D1,Non-metropolitan suburban areas,S01006632,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3YB,AB1  3YB,AB1 3YB,199512,199512,1,395203,804724,S00089080,7B1,Eastern European communities,S34003128,D1,Non-metropolitan suburban areas,S01006632,,S02001258,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 3YE,AB1  3YE,AB1 3YE,199512,199512,1,395157,805102,S00089071,7B1,Eastern European communities,S34003128,D1,Non-metropolitan suburban areas,S01006627,,S02001257,,1A,Cosmopolitan student neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AA,AB1  4AA,AB1 4AA,198001,199606,0,394610,804210,S00089122,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AB,AB1  4AB,AB1 4AB,198001,199606,0,394349,804053,S00089121,7A1,Transitional Eastern European neighbourhood,S34000011,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AD,AB1  4AD,AB1 4AD,198001,199606,0,394357,803984,S00090597,7B1,Eastern European communities,S34000044,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AE,AB1  4AE,AB1 4AE,198001,199606,0,394254,803546,S00090597,7B1,Eastern European communities,S34000043,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AF,AB1  4AF,AB1 4AF,198011,199606,0,394368,804129,S00089121,7A1,Transitional Eastern European neighbourhood,S34000011,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AG,AB1  4AG,AB1 4AG,199402,199606,0,394323,803519,S00090597,7B1,Eastern European communities,S34000043,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AH,AB1  4AH,AB1 4AH,198001,199606,0,394236,803670,S00090597,7B1,Eastern European communities,S34003042,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AJ,AB1  4AJ,AB1 4AJ,198001,199606,0,394095,803772,S00090597,7B1,Eastern European communities,S34003042,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AL,AB1  4AL,AB1 4AL,198001,199606,0,394386,803594,S00090597,7B1,Eastern European communities,S34000043,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AN,AB1  4AN,AB1 4AN,198001,199606,0,394357,803360,S00090597,7B1,Eastern European communities,S34000045,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AP,AB1  4AP,AB1 4AP,198001,199606,0,394211,803688,S00090597,7B1,Eastern European communities,S34003042,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AQ,AB1  4AQ,AB1 4AQ,198001,199606,0,394217,803791,S00090597,7B1,Eastern European communities,S34003042,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AR,AB1  4AR,AB1 4AR,198001,199606,0,394446,803944,S00090597,7B1,Eastern European communities,S34000044,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AS,AB1  4AS,AB1 4AS,198001,199606,0,394320,803761,S00090597,7B1,Eastern European communities,S34000044,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AT,AB1  4AT,AB1 4AT,198001,199606,0,395539,804211,S00089121,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AW,AB1  4AW,AB1 4AW,198001,199606,0,394474,803609,S00090597,7B1,Eastern European communities,S34000043,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AX,AB1  4AX,AB1 4AX,198001,199606,0,395711,804282,S00089121,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AY,AB1  4AY,AB1 4AY,198001,199606,0,395569,804018,S00089121,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4AZ,AB1  4AZ,AB1 4AZ,199406,199606,0,394678,804041,S00089121,7A1,Transitional Eastern European neighbourhood,S34003154,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BB,AB1  4BB,AB1 4BB,198001,199606,0,394669,803840,S00089121,7A1,Transitional Eastern European neighbourhood,S34000013,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BD,AB1  4BD,AB1 4BD,198001,199606,0,394627,803327,S00090597,7B1,Eastern European communities,S34000045,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BE,AB1  4BE,AB1 4BE,198001,199606,0,394545,803423,S00090597,7B1,Eastern European communities,S34000045,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BG,AB1  4BG,AB1 4BG,198001,199606,0,395191,803694,S00089121,7A1,Transitional Eastern European neighbourhood,S34003048,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BH,AB1  4BH,AB1 4BH,199512,199606,0,394779,802854,S00089120,6B4,Older workers and retirement,S34003036,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BJ,AB1  4BJ,AB1 4BJ,198001,199606,0,394705,803742,S00089121,7A1,Transitional Eastern European neighbourhood,S34000013,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BL,AB1  4BL,AB1 4BL,199512,199512,0,394799,800608,S00090863,6B2,White suburban communities,S34003043,D2,Primarily residential suburbs,S01006614,,S02001255,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BN,AB1  4BN,AB1 4BN,198001,199606,0,394729,803861,S00089121,7A1,Transitional Eastern European neighbourhood,S34000011,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BP,AB1  4BP,AB1 4BP,198001,199512,0,394910,803880,S00089121,7A1,Transitional Eastern European neighbourhood,S34003154,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BQ,AB1  4BQ,AB1 4BQ,198001,199606,0,394991,803878,S00089121,7A1,Transitional Eastern European neighbourhood,S34003048,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BR,AB1  4BR,AB1 4BR,198001,199606,0,395274,804174,S00089121,7A1,Transitional Eastern European neighbourhood,S34003154,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BS,AB1  4BS,AB1 4BS,198001,199606,0,395294,804023,S00089121,7A1,Transitional Eastern European neighbourhood,S34003142,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BT,AB1  4BT,AB1 4BT,198001,199606,0,394860,803909,S00089121,7A1,Transitional Eastern European neighbourhood,S34003154,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BU,AB1  4BU,AB1 4BU,199512,199606,0,394736,800649,S00090862,6B3,Semi-detached ageing,S34003043,D2,Primarily residential suburbs,S01006616,,S02001255,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BW,AB1  4BW,AB1 4BW,199512,199512,0,394759,800561,S00090863,6B2,White suburban communities,S34003043,D2,Primarily residential suburbs,S01006614,,S02001255,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BX,AB1  4BX,AB1 4BX,199512,199606,0,394549,800546,S00090864,6B1,Multi-ethnic suburbia,S34003043,D2,Primarily residential suburbs,S01006614,,S02001255,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BY,AB1  4BY,AB1 4BY,199512,199606,0,394631,800495,S00090865,5A1,White professionals,S34003043,D2,Primarily residential suburbs,S01006614,,S02001255,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4BZ,AB1  4BZ,AB1 4BZ,199512,199606,0,394590,800472,S00090865,5A1,White professionals,S34003043,D2,Primarily residential suburbs,S01006614,,S02001255,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DA,AB1  4DA,AB1 4DA,199409,199606,0,394587,803139,S00089121,7A1,Transitional Eastern European neighbourhood,S34003048,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DB,AB1  4DB,AB1 4DB,198101,199606,0,394577,803250,S00090597,7B1,Eastern European communities,S34000045,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DD,AB1  4DD,AB1 4DD,198001,199606,0,394567,802959,S00089119,6A3,Detached retirement living,S34003048,E1,Mining and quarrying facilities,S01006608,,S02001254,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DE,AB1  4DE,AB1 4DE,198001,199606,0,394516,802991,S00089119,6A3,Detached retirement living,S34003048,E1,Mining and quarrying facilities,S01006608,,S02001254,,8C,Comfortable suburbia,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DF,AB1  4DF,AB1 4DF,198001,199606,0,394610,803220,S00090597,7B1,Eastern European communities,S34000045,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DG,AB1  4DG,AB1 4DG,199405,199606,0,395067,800739,S00090849,8B1,Deprived blue-collar terraces,S34003144,D2,Primarily residential suburbs,S01006616,,S02001255,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DH,AB1  4DH,AB1 4DH,199405,199606,0,395017,800742,S00090866,6B2,White suburban communities,S34003144,D2,Primarily residential suburbs,S01006616,,S02001255,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DJ,AB1  4DJ,AB1 4DJ,198001,199606,0,394688,803055,S00089121,7A1,Transitional Eastern European neighbourhood,S34003048,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DL,AB1  4DL,AB1 4DL,198203,199606,0,394938,803193,S00089121,7A1,Transitional Eastern European neighbourhood,S34003048,E1,Mining and quarrying facilities,S01006623,,S02001256,,4B,Constrained renters,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DN,AB1  4DN,AB1 4DN,198001,199606,0,394384,804456,S00089122,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DP,AB1  4DP,AB1 4DP,198001,199606,0,394492,804303,S00089122,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DQ,AB1  4DQ,AB1 4DQ,198001,199606,0,394600,804270,S00089122,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DR,AB1  4DR,AB1 4DR,198001,199606,0,394650,804330,S00089122,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DS,AB1  4DS,AB1 4DS,198001,199606,0,394640,804350,S00089040,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006629,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DT,AB1  4DT,AB1 4DT,198001,199606,0,394880,804390,S00089127,7A1,Transitional Eastern European neighbourhood,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DU,AB1  4DU,AB1 4DU,199405,199606,0,394913,800673,S00090866,6B2,White suburban communities,S34003144,D2,Primarily residential suburbs,S01006616,,S02001255,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DW,AB1  4DW,AB1 4DW,199405,199606,0,394919,800761,S00090866,6B2,White suburban communities,S34003144,D2,Primarily residential suburbs,S01006616,,S02001255,,3A,Achieving neighbourhoods,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 4DX,AB1  4DX,AB1 4DX,198001,199606,0,394720,804300,S00089122,7B1,Eastern European communities,S34002980,E1,Mining and quarrying facilities,S01006630,,S02001257,,4D,Hard-pressed flat dwellers,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
